instrument_id,signal_date,session_date,exit,entry_price,stop_price,exit_date,exit_price,exit_reason,per_dollar,excess_over_spy,levered,pullback,spy_above_200
HON,2019-04-29,2019-04-30,wide,171.7140341100,163.3836091334564126475483276,2019-05-28,163.2463669017843092609243870,stop,-0.049313,-0.002139,False,False,True
SOXL,2019-04-30,2019-05-01,base,12.2354476665,11.05490789832630682380760529,2019-05-07,11.04562177569171272607560690,stop,-0.097244,-0.083948,True,False,True
SOXL,2019-04-30,2019-05-01,wide,12.2354476665,9.874368130152613647615210572,2019-05-13,9.62614211874,stop_gap,-0.213258,-0.175733,True,False,True
CBRE,2019-05-02,2019-05-03,base,51.8359060005,50.18372912296785170386456699,2019-05-07,50.14157479050455870843332075,stop,-0.032686,-0.01194,False,False,True
CBRE,2019-05-02,2019-05-03,wide,51.8359060005,48.53155224543570340772913399,2019-05-09,48.49078574154953741686664152,stop,-0.064533,-0.039467,False,False,True
AOS,2019-05-03,2019-05-06,base,51.9059410005,49.94852136216203358706774381,2019-05-09,49.68149040378,stop_gap,-0.042855,-0.021819,False,True,True
AOS,2019-05-03,2019-05-06,wide,51.9059410005,47.99110172382406717413548762,2019-05-13,47.95078919837605495770921381,stop,-0.076198,-0.035354,False,True,True
PCAR,2019-05-03,2019-05-06,base,46.3098103335,44.70270539113943293246362818,2019-05-13,44.66515511861087580880035873,stop,-0.035514,0.00533,False,False,True
PCAR,2019-05-03,2019-05-06,wide,46.3098103335,43.09560044877886586492725636,2019-07-31,46.7366180010,time,0.009216,-0.006527,False,False,True
SLF,2019-05-10,2019-05-13,base,39.0895350000,37.89992667138181941393930000,2019-05-21,40.24530884822214131436840901,target,0.029567,0.00945,False,True,True
SLF,2019-05-10,2019-05-13,wide,39.0895350000,36.71031834276363882787860000,2019-08-07,39.6101859995,time,0.013319,-0.011996,False,True,True
TNL,2019-05-10,2019-05-13,base,42.2010900000,40.19696861789823300620074817,2019-05-16,44.16807900454080150952446046,target,0.04661,0.022256,False,False,True
TNL,2019-05-10,2019-05-13,wide,42.2010900000,38.19284723579646601240149634,2019-08-07,39.2703559995,time,-0.069447,-0.094762,False,False,True
HEI.A,2019-05-16,2019-05-17,base,86.8333960005,82.68137245966675520465711037,2019-05-29,90.90899178891852486971480160,target,0.046936,0.073419,False,True,True
HEI.A,2019-05-16,2019-05-17,wide,86.8333960005,78.52934891883351040931422074,2019-08-13,109.4952279985,time,0.260981,0.237506,False,True,True
ULTA,2019-05-17,2019-05-20,base,348.0639600075,330.8468898082570206294176462,2019-05-24,330.5689784208180847320889354,stop,-0.050264,-0.046143,False,True,True
ULTA,2019-05-17,2019-05-20,wide,348.0639600075,313.6298196090140412588352924,2019-05-31,313.3663705605424694641778708,stop,-0.099687,-0.069119,False,True,True
BL,2019-05-22,2019-05-23,base,51.0655210005,47.44681022814145132278297217,2019-06-20,54.63829701816934749632816553,target,0.069965,0.021336,False,False,True
BL,2019-05-22,2019-05-23,wide,51.0655210005,43.82809945578290264556594434,2019-08-01,43.79128385224004500734366895,stop,-0.142449,-0.187462,False,False,True
RUN,2019-05-24,2019-05-28,base,15.4977450000,13.89905447906395861084826498,2019-06-17,17.08207451509845511438484756,target,0.10223,0.069319,False,True,True
RUN,2019-05-24,2019-05-28,wide,15.4977450000,12.30036395812791722169652995,2019-08-21,15.6421750000,time,0.009319,-0.034586,False,True,True
EWH,2019-05-31,2019-06-03,base,24.6123000000,23.98247477457225210737127650,2019-06-07,25.22092184023838858439891537,target,0.024728,-0.02291,False,True,False
EWH,2019-05-31,2019-06-03,wide,24.6123000000,23.35264954914450421474255299,2019-08-05,23.33303332352322283120216925,stop,-0.051977,-0.085666,False,True,False
FIVN,2019-06-14,2019-06-17,base,52.8464100000,49.01762627308832759605504019,2019-06-26,48.97645146701893340087435396,stop,-0.07323,-0.077032,False,False,True
FIVN,2019-06-14,2019-06-17,wide,52.8464100000,45.18884254617665519211008039,2019-09-11,55.6021859995,time,0.052147,0.014548,False,False,True
MTG,2019-06-17,2019-06-18,base,13.8369150000,13.26588499596812126049990616,2019-06-25,13.25474165257150803864108624,stop,-0.042074,-0.036465,False,True,True
