instrument_id,signal_date,session_date,arm,fill,spread_bps,entry_price,stop_price,exit_date,exit_price,exit_reason,shares,net_r,per_dollar
VOO,2023-09-11,2023-09-12,C,410.010000,0.1219467580454373620477299611,410.0149999390266209772813190,402.2173565556414011866006736,2023-09-21,401.7902037505478985048458579,stop_gap,128,-1.054779730758610462775820132,-0.02006
CWCO,2023-09-15,2023-09-18,O,30.980000,105.0929668552950687146321746,31.30557801131770412287793046,28.92070047527473304525700965,2023-09-21,28.85042500028216525071969309,stop,419,-1.029467121028432363326323321,-0.078425
CWCO,2023-09-15,2023-09-18,T,30.840000,24.29936821642637291430422809,30.91493925157945893406771425,28.53006171553648785644679344,2023-09-27,28.46073546805016883525017884,stop,419,-1.029069101636701353278130534,-0.079386
CWCO,2023-09-15,2023-09-18,C,30.190000,8.287750704458809878998839715,30.21502071937676114702469750,27.83014318333379006940377669,2023-09-28,27.76251769366102045154518984,stop,419,-1.028355959017071781308710608,-0.081168
GCT,2023-09-15,2023-09-18,O,11.380000,52.67778753292361720807726075,11.43994732221246707638279192,8.148868978645003548164773822,2023-09-28,8.132968746491549882704940117,stop,303,-1.004831313780339282277642834,-0.289073
GCT,2023-09-15,2023-09-18,T,10.230000,19.51219512195121951219512195,10.24996097560975609756097561,6.958882632042292569342957512,2023-09-28,6.945304324467575900914971253,stop,303,-1.004125792873103729529637047,-0.322407
GCT,2023-09-15,2023-09-18,C,9.990000,5.01253132832080200501253133,9.995007518796992481203007517,6.703929175229528952984989419,2023-10-16,9.025473684210526315789473685,time,303,-0.2945945776348522758320018863,-0.097002
SCHL,2023-09-15,2023-09-18,O,39.950000,131.2205991582074770982916564,40.47422629363703887100767518,37.95132187086817926994975097,2023-09-22,32.41893835800940826937360733,stop_gap,396,-3.192862901554963188737029576,-0.199023
SCHL,2023-09-15,2023-09-18,T,39.980000,7.503751875937968984492246125,40.01000000000000000000000002,37.48709557723114039894207581,2023-09-22,32.41893835800940826937360733,stop_gap,396,-3.008858192756856732364746316,-0.189729
SCHL,2023-09-15,2023-09-18,C,38.680000,10.33057851239669421487603306,38.71995867768595041322314048,36.19705425491709081216521627,2023-09-22,32.41893835800940826937360733,stop_gap,396,-2.497526367947479469342254636,-0.162733
TNET,2023-09-18,2023-09-19,O,115.070000,54.8780487804878048780487805,115.7014817073170731707317073,111.4712510180638999153523300,2023-10-09,119.8745946394432484302377148,target,236,0.9864977204973467157841233210,0.036068
TNET,2023-09-18,2023-09-19,T,115.480000,4.762523271420530804866432870,115.5349976187383642897345975,111.3047669294851910343552202,2023-10-09,119.7081898392991572830454701,target,236,0.9865164637859383201805415818,0.036121
TNET,2023-09-18,2023-09-19,C,116.760000,2.997730289923343754014817352,116.7950014988651449616718770,112.5647708096119717062924997,2023-10-10,120.9675936396458195592001237,target,236,0.9863746086900347119160694997,0.035726
AZZ,2023-09-25,2023-09-26,O,45.990000,90.1487998262191810578907353,46.40459433040078201368523951,44.64168816899963527743915261,2023-10-02,44.60289460986950307211441730,stop,567,-1.022005458928851509808654651,-0.038826
AZZ,2023-09-25,2023-09-26,T,46.070000,8.689984792526613078427112755,46.11003475993917010645231370,44.34712859853802337020622680,2023-10-03,44.30859101122667162276307561,stop,567,-1.021860260151749832945184401,-0.039068
AZZ,2023-09-25,2023-09-26,C,45.575000,7.679648930334613274821722435,45.60999999999999999999999999,43.84709383859885326375391309,2023-10-04,43.80899078073346212470220428,stop,567,-1.021613775423592069222213676,-0.039487
CVX,2023-09-25,2023-09-26,O,167.440000,4.182600382409177820267686424,167.5100334608030592734225622,162.2721789606745114712924173,2023-10-04,162.2576510267796765453198763,stop,190,-1.002773642126652884377231974,-0.031356
CVX,2023-09-25,2023-09-26,T,167.540000,0.8952818645736966188188247935,167.5549995523590677131516905,162.3171450522305199110215456,2023-10-04,162.3026130926030558995699038,stop,190,-1.002774410710932762078928512,-0.031347
CVX,2023-09-25,2023-09-26,C,167.600000,0.5966587112171837708830548925,167.6099999999999999999999999,162.3721454998714521978698550,2023-10-04,162.3576086161536565502350820,stop,190,-1.002775350807747500887681576,-0.031337
EPI,2023-09-27,2023-09-28,O,36.750000,6.814774430966335014311026305,36.77504429603380128117759304,36.12606911926817659653534508,2023-10-23,35.99545318249965926127845168,stop_gap,1540,-1.201264919591352666261639292,-0.021199
EPI,2023-09-27,2023-09-28,T,36.650100,1.363698349924996590754125188,36.65509796808945861175507979,36.00612279132383392711283183,2023-10-17,37.29898599455577127085574895,target,1540,0.9921612559594875943181373877,0.017566
EPI,2023-09-27,2023-09-28,C,36.730000,1.361470388019060585432266848,36.73500068073519400953029273,36.08602550396956932488804477,2023-10-23,35.99545318249965926127845168,stop_gap,1540,-1.139562073731858574079913207,-0.020132
VCTR,2023-10-03,2023-10-04,O,32.140000,219.7131522734208117180347879,32.84615807140677448886176382,31.38097472460135298181395068,2023-10-11,31.35638533835734627990060328,stop,682,-1.016782463640212400254972868,-0.045356
VCTR,2023-10-03,2023-10-04,T,31.900000,7.83576241968343519824478922,31.92499608211879015828240088,30.45981273531336865123458774,2023-10-18,29.68317058285016783643576442,stop_gap,682,-1.530064823734541141606393718,-0.070222
VCTR,2023-10-03,2023-10-04,C,32.250000,6.20155038759689922480620155,32.27000000000000000000000000,30.80481665319457849295218686,2023-10-12,30.78067873072694443990959778,stop,682,-1.016474335802589219897436594,-0.046152
MGK,2023-10-10,2023-10-11,O,47.070000,4.246825497940289633498959528,47.08998980761880494330487960,45.62160200927932309532799855,2023-10-20,45.61580388150860341859484947,stop,681,-1.003948635215626592092643891,-0.031306
MGK,2023-10-10,2023-10-11,T,47.210000,1.270917178563863588222834146,47.21599999999999999999999998,45.74761220166051815202311893,2023-10-20,45.74179805903798133548187473,stop,681,-1.003959541634104905596714082,-0.031223
MGK,2023-10-10,2023-10-11,C,47.260000,1.269142905491158304425078264,47.26599796937135121414671293,45.79761017103186936616983188,2023-10-19,45.79178967408151581361323330,stop,681,-1.003963869052123443868092770,-0.03119
AIQ,2023-10-17,2023-10-18,O,27.210000,9.19963201471941122355105796,27.23503219871205151793928243,26.33139157201269481027417631,2023-10-20,26.32166442329750726139708943,stop,1106,-1.010764399505494780486919093,-0.033537
AIQ,2023-10-17,2023-10-18,T,27.053800,3.694126339120797931289250092,27.06379401551533062430735131,26.16015338881597391664224519,2023-10-23,26.12594296228150873965041398,stop_gap,1106,-1.037858442309552184101219723,-0.034653
AIQ,2023-10-17,2023-10-18,C,26.910000,7.43494423791821561338289963,26.93000743494423791821561338,26.02636680824488121055050726,2023-10-23,26.01675233953108553961938406,stop,1106,-1.010639703915165410713264655,-0.033912
R,2023-10-17,2023-10-18,O,104.180000,95.8832228211610933549587368,105.1789114153508562705719602,100.0255114042307560535580705,2023-10-19,99.95680582285212635162745462,stop,194,-1.013332087792598197224142593,-0.04965
