instrument_id,signal_date,session_date,arm,paid_bps,entry_price,stop_price,exit_date,exit_price,exit_reason,shares,net_r,per_dollar
LVS,2025-10-16,2025-10-17,C,1.029760065904644217897229946,48.57500154464009885696632685,44.92268527701478873526964877,2025-10-23,52.21661987744110225826590067,target,273,0.9970709177298979142305676064,0.074969
LVS,2025-10-16,2025-10-17,X,0,48.540000,44.88768373237468987830332192,2025-10-23,52.18162550231035204916048458,target,273,0.9970728807333245888282960114,0.075023
ANET,2025-10-22,2025-10-23,O,14.97413558399128777566022325,146.9997903621018241219711407,133.5633461341178973748001197,2025-10-29,160.3258463024676583830423620,target,74,0.9917844121744510293724371473,0.090654
ANET,2025-10-22,2025-10-23,A,0,146.780000,133.3435557720160732528289790,2025-10-29,160.1062071673113517181192012,target,74,0.9917956671570157244604686062,0.09079
ANET,2025-10-22,2025-10-23,C,6.899043989618581425145372715,152.3500344952199480929071257,138.9135902672360213457361047,2025-11-06,138.8180106533435552912732608,stop,74,-1.007113460397015119505640541,-0.088822
ANET,2025-10-22,2025-10-23,X,0,152.760000,139.3235557720160732528289790,2025-11-06,139.2276940810094765640471760,stop,74,-1.007134453831687601945668300,-0.088585
CHAT,2025-10-27,2025-10-28,O,5.96480763495377274082910826,67.12001192961526990754548167,64.16108534797016584765013016,2025-11-05,64.10337788101051647048240406,stop,337,-1.019502838400121836931892614,-0.044944
CHAT,2025-10-27,2025-10-28,A,0,67.080000,64.12107341835489594010464849,2025-11-05,64.06340193874012613413243624,stop,337,-1.019490676102786442097327392,-0.04497
CHAT,2025-10-27,2025-10-28,C,5.963918294319367824660802145,67.08998807216341136126435066,64.13106149051830730136899915,2025-11-05,64.07338102747781714340044661,stop,337,-1.019493712144902552119607520,-0.044964
CHAT,2025-10-27,2025-10-28,X,0,67.010000,64.05107341835489594010464849,2025-11-05,63.99346489781672634399602491,stop,337,-1.019469398428311259318400712,-0.045016
APP,2025-11-03,2025-11-04,O,17.20344068813762752550510102,631.2591178235647129425885176,569.8850497634759711951802871,2025-11-13,569.5688263243354888269065781,stop,16,-1.005152394963144392481083031,-0.097726
APP,2025-11-03,2025-11-04,A,0,629.910000,568.5359319399112582525917695,2025-11-13,568.2204571125796844014194333,stop,16,-1.005140197436850786147314198,-0.097934
APP,2025-11-03,2025-11-04,C,3.918495297805642633228840126,612.9600940438871473354231975,551.5860259837984055880149670,2025-11-10,673.9599809108406460463235721,target,16,0.9939032688403692234910446955,0.099517
APP,2025-11-03,2025-11-04,X,0,608.680000,547.3059319399112582525917695,2025-11-10,669.6822618477657948545456327,target,16,0.9939419656530030365350889173,0.100221
KTOS,2025-11-05,2025-11-06,O,30.10311919554217639146864792,78.18465381412925126497149813,66.60266459011322517704509970,2025-11-21,66.56230205686219702900164095,stop,86,-1.003484939630865287540913042,-0.148653
