regime,arm,period,instrument_id,signal_date,entry_date,exit_date,entry_price,stop_price,exit_price,shares,initial_risk_per_share,costs,mfe,mae,exit_reason,gross_r,net_r,holding_days
1x,NONE,primary,AEP,2023-04-05,2023-04-06,2023-05-02,95.3776670010,91.18149846978491195830840494,91.13590772055001950232925074,238,4.19616853121508804169159506,2.380,0.1602261667991945739977740597,-1.107597077292358425930403217,stop,-1.010864851803674030336850777,-1.013247978202342363043482689,26
1x,NONE,primary,AEP,2023-07-12,2023-07-13,2023-07-18,87.2035840020,84.05245924889572524330683955,84.01043301927127738068518613,317,3.15112475310427475669316045,3.170,0.1194551239614294781978663922,-1.013473680740154523017673307,stop,-1.013336898065697483612389158,-1.016510368106878391178819241,5
1x,NONE,primary,AEP,2023-07-21,2023-07-24,2023-07-27,87.8839159980,84.74415228524782370062348328,84.70178020910519978877317154,318,3.13976371275217629937651672,3.180,0.3076925814755581622315747374,-1.151016231992884714917454822,stop,-1.013495307296701778541011972,-1.016680260342494656920621560,3
1x,NONE,holdout,AEP,2023-09-14,2023-09-15,2023-09-25,80.7203400000,78.17651485815060136909485877,78.13742660072152606841031134,393,2.54382514184939863090514123,3.930,0.2553882298402339703994684791,-1.116563773693591409986927835,stop,-1.015365937220298702381230755,-1.019297025027981054160529691,10
1x,NONE,holdout,AEP,2023-11-02,2023-11-03,2023-11-13,80.2300970010,76.58808511339043326623207843,76.54979107083373804959896239,274,3.64201188760956673376792157,2.740,0.2333614016723692952062761509,-1.444283040067851679867247905,stop,-1.010514529808915450429003501,-1.013260264943394513484923662,10
1x,NONE,holdout,AEP,2023-12-13,2023-12-14,2023-12-20,83.9619579990,80.84696554122074042811625315,80.80654205845013005790219502,321,3.11499245777925957188374685,3.210,0.2337225565929739458787345398,-1.178801248725273508289049824,stop,-1.012977072438701530474098097,-1.016187353084815582389467626,6
1x,NONE,holdout,AEP,2024-02-15,2024-02-16,2024-03-18,81.3106319985,78.07019318936931284994330261,82.1189239980,308,3.24043880913068715005669739,3.080,1.493430453882959846434229005,-0.1946131482943137909708495631,time,0.2494390565939557356353414400,0.2463530547932666798774000744,31
1x,NONE,holdout,AEP,2024-04-24,2024-04-25,2024-05-23,86.5332429990,83.18021143313192577459720643,89.2353590005,298,3.35303156586807422540279357,2.980,2.059855049176041062334727796,-0.4125344399022648287028178225,time,0.8058725211554764577423724312,0.8028901454147306122767059105,28
1x,NONE,holdout,AEP,2024-07-11,2024-07-12,2024-08-09,91.2956250000,88.50128719886998072186766718,97.4812340005,357,2.79433780113001927813233282,3.570,4.693197434718378151233906701,-0.5209209135027802742243807639,time,2.213622489735694772511531310,2.210043824337418286715876093,28
1x,NONE,holdout,AEP,2024-09-04,2024-09-05,2024-10-03,103.0915210005,99.97226600156244238466774061,101.3193179985,320,3.11925499893755761533225939,3.200,0.6695441700698891577281871203,-0.8179901936100342716237921070,time,-0.5681494467761135441252708247,-0.5713553404922111627440506546,28
1x,NONE,holdout,AEP,2025-01-16,2025-01-17,2025-02-18,97.6888189995,94.32432065532564070524227968,102.1488970015,297,3.36449834417435929475772032,2.970,1.649927695792118889079903687,-0.2641748958025163027023855796,time,1.325629423989059389034190171,1.322657212688282548071142390,32
1x,NONE,holdout,AEP,2025-02-20,2025-02-21,2025-03-21,104.4021729990,100.4261164714710442954185100,105.0574459995,251,3.9760565275289557045814900,2.510,1.287160774894875875944965982,-0.7500333504698349024861871274,time,0.1648047496214144209890979469,0.1622896948351549278972702157,28
1x,NONE,holdout,AEP,2025-07-01,2025-07-02,2025-07-31,103.9019229990,100.7796117944222797055433280,113.0834290005,320,3.1223112045777202944566720,3.200,3.307831706800293213928530195,-0.4842323202066853171323905853,time,2.940612065843629061723078667,2.937409310146074416867332908,29
1x,NONE,holdout,AEP,2025-08-04,2025-08-05,2025-08-18,114.7473470010,110.9733729803344036368096403,110.9178862938442364349912355,264,3.7739740206655963631903597,2.640,0.1623365703222168363471501573,-1.077735824022090897978924295,stop,-1.014702455869153360165931816,-1.017352182641314963837226063,13
1x,NONE,holdout,AEP,2025-09-30,2025-10-01,2025-10-29,113.0164789995,109.6521705934889838797003384,122.0489459995,297,3.3643084060110161202996616,2.970,2.905061255097074324444667072,-0.3823894376631615954038021868,time,2.684791615376781248807273165,2.681819236274397834343863253,28
1x,NONE,holdout,AEP,2025-11-17,2025-11-18,2025-11-24,124.4822079990,120.4410281144702428938497922,120.3808076004130077724028673,247,4.0411798845297571061502078,2.470,0.07863916234379146110949923825,-1.210590010538288955632861029,stop,-1.014901715780524466160675706,-1.017376240618748446314142602,6
1x,NONE,holdout,AEP,2026-01-09,2026-01-12,2026-02-10,115.6577979990,112.2251442799928668236886441,121.1693879985,291,3.4326537190071331763113559,2.910,1.975790323225989909199506457,-0.08675416263255803439874965140,time,1.605635304540471395064412902,1.602722106525586159958375126,29
1x,NONE,holdout,AEP,2026-02-12,2026-02-13,2026-03-16,127.3836600000,122.5327805850275011410533266,134.0829190030,206,4.8508794149724988589466734,2.060,1.570094687674931493936718908,-0.1594884007242192213934236147,time,1.381040102197217816978207913,1.378978620320522538807936209,31
1x,NONE,holdout,AEP,2026-04-09,2026-04-10,2026-04-17,137.0685000000,132.1106388455322124333300100,132.0445835261094463271133450,201,4.9578611544677875666699900,2.010,0.1314076735313368810321894441,-1.018281037469259630520113215,stop,-1.013323350002095199606570564,-1.015340348802271053228164229,7
1x,NONE,holdout,AEP,2026-06-23,2026-06-24,2026-07-23,134.2871110005,129.1682756745805543780415767,134.8525380010,195,5.1188353259194456219584233,1.950,1.229359922487772235856692889,-0.9332427586234050284396106558,time,0.1104600879885578182177169948,0.1085065185995672084879342552,29
1x,A,primary,AEP,2017-05-22,2017-05-23,2017-06-21,69.4647150000,67.99634182986348829231014506,72.3638019990,681,1.46837317013651170768985494,6.810,2.387190171606118758689666649,-0.06450131473812941936065008895,time,1.974353017312675154657061038,1.967542759400464514045454263,29
1x,A,primary,AEP,2017-08-02,2017-08-03,2017-08-31,70.7853750000,69.25845614417674766024594741,73.5931820015,654,1.52691885582325233975405259,6.540,2.295227402971881351373960837,-0.3047804395270820007315065929,time,1.838871129786490874066188199,1.832321993293832652186381450,28
1x,A,primary,AEP,2017-09-11,2017-09-12,2017-09-12,74.5272429990,73.20943694572260332165956074,73.17283222724974201999873096,758,1.31780605327739667834043926,7.580,0,-1.424519939281871625014826512,stop,-1.027777014972594036167490230,-1.035365385032915053186865623,0
1x,A,primary,AEP,2017-10-12,2017-10-13,2017-11-10,73.5867780015,72.04743579720587251872298649,74.7426090005,649,1.53934220429412748127701351,6.490,1.463753798352604501241159312,-0.6930109487832677100672697843,time,0.7508603322742077834158867817,0.7443640509586535552028408468,28
1x,A,primary,AEP,2017-11-13,2017-11-14,2017-12-13,75.9679650000,74.08031545902043259563276453,76.4717469990,529,1.88764954097956740436723547,5.290,1.113572702117777899923245077,-0.09957674659378661189607817387,time,0.2668832259713685470800221460,0.2615856324388261398416876507,29
1x,A,primary,AEP,2018-07-03,2018-07-05,2018-07-10,70.4051880015,68.31486263568099194586182761,68.28070520436315144988889670,478,2.09032536581900805413817239,4.780,0.6337841085236631142991169677,-1.035814824287729635961544965,stop,-1.016340724691180940073603910,-1.021124668934273407706918653,5
1x,A,primary,AEP,2018-08-17,2018-08-20,2018-08-22,72.5662639995,70.59086464680806536565791754,70.55556921448466133297508858,506,1.97539935269193463434208246,5.060,0.03732662987841883832097865912,-1.040934835124792090892612124,stop,-1.017867492097385732093636080,-1.022929759626416105982489402,2
1x,A,primary,AEP,2018-09-05,2018-09-06,2018-09-19,73.5267429990,71.70252691624898336579276689,71.66667565279085887410987051,548,1.82421608275101663420723311,5.480,0.1169022699758243062520984546,-1.555046590052007963771314868,stop,-1.019652969731556606517695478,-1.025134776461886194720510870,13
1x,A,primary,AEP,2018-10-24,2018-10-25,2018-10-26,75.0375000000,72.47851581664978240486244263,72.44227655874145751366001141,390,2.55898418335021759513755737,3.900,0.1807357790678079975063133881,-1.151825798368606148933726998,stop,-1.014161579483027721743654044,-1.018069380111520867635682441,1
1x,A,primary,AEP,2018-11-12,2018-11-13,2018-12-13,76.3281460005,73.52000014829956066826736417,80.3198209995,356,2.80814585220043933173263583,3.560,1.546163279267621198172030425,-0.4658408321187966467905290992,time,1.421462847405934147605373334,1.417901778812518999811660449,30
1x,A,primary,AEP,2019-01-24,2019-01-25,2019-02-25,77.4086880015,74.65566919382831493804031361,80.7396090005,363,2.75301880767168506195968639,3.630,1.580560941456133258484847277,-0.4027161014703164759134706218,time,1.209915816672921704349273639,1.206283440471156008541640125,31
1x,A,primary,AEP,2019-03-11,2019-03-12,2019-04-09,83.0314929990,80.97873841974190441173657086,83.5282150000,487,2.05275457925809558826342914,4.870,1.494823118167889249641608118,-0.4635191213865843042381452192,time,0.2419782695988551859715115117,0.2371067666432441018961050851,28
